2592.4296	1834.32134934
4598.1456	1277.34304508
3085.8024	4224.80725657
3549.1728	3441.00212868
3456.9432	1689.36791758
3611.4	3709.53495989
2870.2296	947.538201033
2530.2024	4081.26105749
4290.3432	494.051301044
5709.3456	6757.03063958
708.9456	5772.74298487
3889.2	3791.70214824
3055.8	3297.35547667
3333.6	5605.38002062
2962.4592	0
2962.4592	6471.64818167
3950.316	4533.52451437
5308.2024	2492.80830722
1573.4592	3112.66832209
1635.6864	4596.96175655
4783.716	6428.04585197
2252.4024	7069.83002184
2252.4024	1855.20888576
2067.9432	5606.62228958
2222.4	3194.68648027
1974.6024	3586.66423073
708.9456	2886.00035042
5092.6296	3069.21464506
3795.8592	2225.64907274
4413.6864	5151.07824224
0	2391.93583998
5278.2	4758.68556472
4042.5456	1627.62102828
4259.2296	2843.4068438
3549.1728	4987.15314985
3024.6864	4905.25108422
4290.3432	6490.91424044
2746.8864	2699.46626564
2653.5456	3812.55754332
647.8296	3566.71295657
616.716	4927.36097727
2005.716	1113.17340063
1913.4864	7029.43245046
833.4	7030.76132553
3148.0296	3874.55270441
4938.1728	4985.93987176
