
-11	0
-10	0.08
-9	0.1
-8	0.13
-7	0.16
-6	0.19
-5	0.24
-4	0.29
-3	0.35
-2	0.42
-1	0.51
0	0.6
1	0.71
2	0.82
3	0.95
4	1.09
5	1.23
6	1.39
7	1.55
8	1.72
9	1.9
10	2.08
11	2.26
12	2.44
13	2.63
14	2.82
15	3.02
16	3.21
17	3.41
18	3.6
19	3.8
20	3.99
21	4.19
22	4.39
23	4.4
24	4.4
25	4.4
1000	4.4
